SYMBOL	ID	ENTREZID	GENENAME	CHR	CHRLOC	ectoderm_rep1	endoderm_rep1	endoderm_rep2	HUES64_rep1	mesoderm_rep1	mesoderm_rep2	ectoderm_rep2	ectoderm_rep3	HUES64_rep2
EPHA1-AS1	gene14938	285965	EPHA1 antisense RNA 1	7	 143104906	0	0.1	0.05	0.26	0.1	0.04	0.1	0.08	0.15
RPL26P22	gene14944	643101	ribosomal protein L26 pseudogene 22	7	NA	0	0	0	0.08	0	0	0	0	0
CTAGE15P	gene14946	NA	NA	NA	NA	0	0.2	0	0.15	0	0	0.04	0	0.13
FAM115B	gene14947	653199	family with sequence similarity 115, member A pseudogene	7	NA	0.86	1.59	1.24	0.55	1.26	0.84	1.65	1.49	0.27
FAM115C	gene14948	285966	family with sequence similarity 115, member C	7	 143412939;  143318045;  143318542	0.08	0.14	0.22	0.01	0.21	0.13	0.13	0.16	0
LOC100533814	gene14949	100533814	family with sequence similarity 115, member C pseudogene	7	NA	0	0.09	0	0	0.04	0	0	0	0
PAICSP6	gene14951	780812	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase pseudogene 6	7	NA	0	0	0	0	0.07	0	0	0	0
RPL26P24	gene14952	728311	ribosomal protein L26 pseudogene 24	7	NA	0	0	0	0.08	0	0	0	0	0
FAM115D	gene14953	653691	family with sequence similarity 139, member B	7	NA	0.02	0.03	0.02	0.01	0.03	0.01	0.04	0.05	0.01
LOC154761	gene14954	154761	family with sequence similarity 115, member C pseudogene	7	-143509061	0.05	0.08	0	0.03	0.11	0.05	0.02	0	0.02
FAM115A	gene14955	9747	family with sequence similarity 115, member A	7	-143548461	16.63	19.42	19.56	7.69	19.55	17.84	32.54	31.22	6.55
OR2F1	gene14957	26211	olfactory receptor, family 2, subfamily F, member 1	7	 143657020	0	0	0	0	0	0	0.05	0	0
VCAM1	gene1496	7412	vascular cell adhesion molecule 1	1	 101185196	0.98	3.29	1.94	0.23	0.27	0.22	0.62	0.81	0.2
EXTL2	gene1497	2135	exostosin-like glycosyltransferase 2	1	-101337928	10.93	12.13	10.9	7.64	9.65	9.09	18.44	16.26	7.73
CTAGE4	gene14972	100128553	CTAGE family, member 4	7	 143880548; -143963767	0.12	0.14	0.19	0.54	0.05	0.13	0.23	0.28	0.77
ARHGEF35	gene14973	445328	Rho guanine nucleotide exchange factor (GEF) 35	7	-143883176	0.25	1.14	1.16	2.56	0.62	0.29	1.14	1	2.48
OR2A42	gene14974	402317	olfactory receptor, family 2, subfamily A, member 42	7	 144015218; -143929004	0	0	0.04	0	0	0.09	0	0	0
OR2A20P	gene14975	401428	olfactory receptor, family 2, subfamily A, member 20 pseudogene	7	-143947767;  143996466	0.26	0.26	0	1.03	0.52	0.9	1.15	0.32	0.69
OR2A7	gene14976	401427	olfactory receptor, family 2, subfamily A, member 7	7	-143955789	0.04	0	0	0	0.04	0.24	0.21	0	0.12
LOC728377	gene14977	NA	NA	NA	NA	0.44	0.62	0.58	1.46	0.34	0.34	0.63	0.71	1.79
LOC100289604	gene14978	NA	NA	NA	NA	0.12	0.3	0.1	0.79	0.05	0.13	0.19	0.28	0.65
OR2A9P	gene14979	441295	olfactory receptor, family 2, subfamily A, member 9 pseudogene	7	-143947564;  143996614	0.57	0.42	0.31	1.18	1.53	0.76	0.55	0.77	1.28
SLC30A7	gene1498	148867	solute carrier family 30 (zinc transporter), member 7	1	 101361634;  101361632	1.4	2.82	2.67	1.28	2.42	1.9	3.14	2.47	1.48
OR2A1	gene14980	346528	olfactory receptor, family 2, subfamily A, member 1	7	 144015218; -143929004	0	0	0.04	0	0.17	0.09	0	0	0.06
ARHGEF5	gene14981	7984	Rho guanine nucleotide exchange factor (GEF) 5	7	 144052489	0.59	1.08	0.69	1.92	0.48	0.6	1.16	0.91	2.86
NOBOX	gene14982	135935	NOBOX oogenesis homeobox	7	-144094333	0	0	0.07	0	0	0	0	0	0
TPK1	gene14984	27010	thiamin pyrophosphokinase 1	7	-144149034	0.63	1.91	1.49	0.47	0.82	0.56	0.78	0.81	0.36
LOC100421829	gene14985	NA	NA	NA	NA	0.14	0.2	0.26	0.1	0.18	0	0.15	0	0.14
LOC402715	gene14987	402715	karyopherin alpha 2 (RAG cohort 1, importin alpha 1) pseudogene	7	NA	0	0	0	0	0	0	0.05	0	0
LOC643308	gene14988	NA	NA	NA	NA	0	0	0.28	0.26	0	0	0	0	0
LOC100420073	gene14989	100420073	dpy-19-like 4 (C. elegans) pseudogene	7	NA	0.04	0.17	0.13	0	0	0.09	0.06	0.05	0.06
LOC100421397	gene1499	NA	NA	NA	NA	0.07	0	0	0	0	0	0	0.08	0
CNTNAP2	gene14990	26047	contactin associated protein-like 2	7	 145813453	10.6	19.25	20.7	11.75	7.68	6.52	26.38	22.79	11.66
LOC100507538	gene14995	NA	NA	NA	NA	0	0	0	0	0	0	0.05	0	0
RPL32P17	gene14997	402716	ribosomal protein L32 pseudogene 17	7	NA	0.07	0.18	0.09	0.04	0.08	0.07	0.34	0.25	0.04
LOC643438	gene14999	643438	huntingtin interacting protein K pseudogene	7	NA	0.05	0.06	0.12	0.02	0.04	0.06	0.09	0.15	0.07
LOC100288646	gene15	NA	NA	NA	NA	0.09	0	0	0.09	0	0.1	0.27	0.43	0.07
DPH5	gene1500	51611	diphthamide biosynthesis 5	1	-101455180	9.15	9.88	6.75	5.91	6.03	6.76	16.62	14.73	6.15
CUL1	gene15001	8454	cullin 1	7	 148395933	17.66	17.02	14.7	14.52	15.72	16.24	28.66	28.8	16.79
EZH2	gene15002	2146	enhancer of zeste 2 polycomb repressive complex 2 subunit	7	-148504464	17.08	23.09	18.54	11.54	7.98	8.5	25.25	26.3	12.86
RNY4	gene15005	6086	RNA, Ro-associated Y4	7	  80451636	0	0	0	0	0	0	84.01	129.55	0
RNY3	gene15006	6085	RNA, Ro-associated Y3	7	NA	0	0	0	0	0	0	7433.62	7654.13	0
RNY1	gene15007	6084	RNA, Ro-associated Y1	7	NA	0	145062.72	0	0	0	134072.02	4621.53	5664.11	0
PDIA4	gene15008	9601	protein disulfide isomerase family A, member 4	7	-148700154	27.31	56.5	53.82	36.28	95.4	79.86	46.81	51.19	38.59
COX6B1P1	gene15009	140603	cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous) pseudogene 1	7	NA	0	0	0	0	0	0	0.16	0	0
LOC100506051	gene1501	NA	NA	NA	NA	0.96	1.37	0.81	0.43	0.31	0.35	0.99	1.13	0.17
ZNF786	gene15010	136051	zinc finger protein 786	7	-148766733	2.32	2.44	1.68	1.64	1.4	0.96	3.19	3.3	1.62
ZNF425	gene15011	155054	zinc finger protein 425	7	-148799878	1.19	0.6	0.68	1.12	0.72	0.59	2.09	1.21	1.05
ZNF398	gene15012	57541	zinc finger protein 398	7	 148823508;  148844560	1.91	2.51	1.99	5.25	2.31	1.74	2.9	2.81	5.24
LOC100420549	gene15013	100420549	centrosomal protein 83kDa pseudogene	7	NA	0	0.07	0	0	0	0.24	0.55	0.24	0.05
ZNF282	gene15014	8427	zinc finger protein 282	7	 148892577	5.19	6.28	5.08	4.1	5.92	4.82	7.58	6.63	4.2
ZNF212	gene15015	7988	zinc finger protein 212	7	 148936742	2.22	3.62	3.48	2.39	2.5	1.76	5.91	4.88	2.52
ZNF783	gene15016	100289678	zinc finger family member 783	7	 148959262	1.94	2.02	1.47	0.84	1.3	1.24	3.49	3.33	0.61
LOC155060	gene15017	155060	AI894139 pseudogene	7	 148982372	1.14	1.32	0.65	0.24	0.87	0.47	1.49	1.78	0.24
LOC100506029	gene1502	NA	NA	NA	NA	1.12	1.66	1.08	0.46	0.67	0.56	1.41	1.33	0.38
NPM1P12	gene15020	10835	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 12	7	NA	0	0	0.06	0	0	0	0.04	0	0.04
ZNF777	gene15026	27153	zinc finger protein 777	7	-149128454	3.92	4.42	3.7	2.58	3.59	2.69	6.98	6.42	2.47
ZNF746	gene15027	155061	zinc finger protein 746	7	-149169884	3.28	3.69	3.56	2.44	3.73	2.97	5.57	5.25	2.12
ZNF767	gene15029	NA	NA	NA	NA	2.51	3.81	2.72	0.61	1.73	1.6	4.68	3.71	0.63
S1PR1	gene1503	1901	sphingosine-1-phosphate receptor 1	1	 101702305	2.96	3.34	1.85	0.7	3.54	3.29	4.04	3.03	0.3
RPS20P6	gene1504	100270900	ribosomal protein S20 pseudogene 6	1	NA	0.29	0	0	0	0	0	0	0	0
KRBA1	gene15042	84626	KRAB-A domain containing 1	7	 149412148	1.97	2.76	1.8	1.29	2.06	1.45	3.64	2.86	1.08
ZNF467	gene15043	168544	zinc finger protein 467	7	-149461453	1.79	1.69	1.37	0.2	4.35	2.25	1.58	1.51	0.32
SSPO	gene15044	23145	SCO-spondin	7	 149473131	0.11	0.23	0.21	0.03	0.16	0.12	0.23	0.12	0.01
ZNF862	gene15045	643641	zinc finger protein 862	7	 149535509	1.32	1.72	1.45	0.46	1.58	1.18	2.14	2.34	0.28
ATP6V0E2-AS1	gene15046	401431	ATP6V0E2 antisense RNA 1	7	-149564783	0.27	0.29	0.18	0.16	0.07	0.05	0.53	0.68	0.09
ATP6V0E2	gene15047	155066	ATPase, H+ transporting V0 subunit e2	7	 149570057	4.63	4.94	3.81	1.93	1.36	1.04	6.95	7.14	1.64
LOC100996256	gene15048	NA	NA	NA	NA	0	0	0	0	0.15	0	0	0	0
LOC100134040	gene15049	100134040	uncharacterized LOC100134040	7	NA	0.37	0.67	0.32	0.13	0.07	0.11	1.15	0.9	0.07
PPIAP7	gene1505	5489	peptidylprolyl isomerase A (cyclophilin A) pseudogene 7	1	NA	0	0	0	0	0	0	0	0	0.06
ACTR3C	gene15050	653857	ARP3 actin-related protein 3 homolog C (yeast)	7	-149944301	0.06	0.07	0	0.06	0	0.07	0.05	0	0.14
LRRC61	gene15051	65999	leucine rich repeat containing 61	7	 150020296	8.78	6.93	4.86	8.44	6.64	4.47	12.1	9.22	7.68
C7orf29	gene15052	NA	NA	NA	NA	1.67	1.52	1.24	1.31	0.74	0.39	4.43	2.8	2.19
RARRES2	gene15053	5919	retinoic acid receptor responder (tazarotene induced) 2	7	-150035407	1.44	10.9	6.5	16.91	8.01	5.31	1.19	1.51	25.27
REPIN1	gene15054	29803	replication initiator 1	7	 150065879;  150068258	12.03	26.1	20.75	12.92	20.13	15.8	16.81	15.24	11.79
ZNF775	gene15055	285971	zinc finger protein 775	7	 150076406	3.89	5.71	5.02	3.44	4.24	3.26	4.46	4.62	3.05
LOC728743	gene15056	728743	zinc finger protein pseudogene	7	 150102840	1.12	1.38	1.09	1.4	1.15	1.02	0.99	1.22	1.84
LOC285972	gene15057	NA	NA	NA	NA	0	0.13	0	0	0.11	0	0.15	0.1	0.02
GIMAP8	gene15058	155038	GTPase, IMAP family member 8	7	 150147962	0	0	0	0	0.94	0.55	0.01	0.02	0.01
RPSAP19	gene1506	730029	ribosomal protein SA pseudogene 19	1	NA	0.15	0.16	0.12	0.17	0	0	0.19	0	0.11
GIMAP7	gene15061	168537	GTPase, IMAP family member 7	7	 150211945	0	0	0	0	0.06	0.12	0	0	0
GIMAP4	gene15063	55303	GTPase, IMAP family member 4	7	 150264458	0	0	0	0.07	1.52	0.77	0	0.04	0
GIMAP6	gene15066	474344	GTPase, IMAP family member 6	7	-150322464	0	0	0	0	0.32	0.12	0	0	0
GIMAP2	gene15068	26157	GTPase, IMAP family member 2	7	 150382794	0	0	0	0	0	0.15	0	0	0
GIMAP1-GIMAP5	gene15069	100527949	GIMAP1-GIMAP5 readthrough	7	 150413645	0	0	0	0	0.03	0.01	0	0	0
OLFM3	gene1507	118427	olfactomedin 3	1	-102268127	2.95	0.59	0.51	0.29	0.12	0.08	8.47	7.19	0.34
GIMAP1	gene15070	170575	GTPase, IMAP family member 1	7	 150413645	0.05	0.01	0.02	0.02	0.06	0.08	0.13	0.07	0.04
GIMAP5	gene15071	55340	GTPase, IMAP family member 5	7	 150434436	0	0	0	0	0.33	0.18	0	0	0
LOC100128542	gene15073	100128542	Bet1 golgi vesicular membrane trafficking protein pseudogene	7	NA	0	0.14	0.07	0.07	0	0.1	0.03	0.08	0
TMEM176B	gene15074	28959	transmembrane protein 176B	7	-150488376	0.74	1.41	1.13	0.17	0.13	0.13	0.45	0.32	0.04
TMEM176A	gene15075	55365	transmembrane protein 176A	7	 150497854	0.32	2.61	1.24	0.27	0.15	0.08	0.16	0.46	0
ABP1	gene15076	NA	NA	NA	NA	0.02	0	0	0.03	0	0	0	0	0
KCNH2	gene15077	3757	potassium voltage-gated channel, subfamily H (eag-related), member 2	7	-150646516; -150642044	2.98	5.76	4.65	1.69	2.85	2.11	3.25	2.63	1.19
NOS3	gene15078	4846	nitric oxide synthase 3 (endothelial cell)	7	 150688144;  150690892	1.03	0.54	0.43	0.86	5.32	2.79	1.27	1.01	0.67
ATG9B	gene15079	285973	autophagy related 9B	7	-150709297	0.27	0.39	0.42	0.23	0.11	0.08	0.36	0.34	0.11
ABCB8	gene15080	11194	ATP-binding cassette, sub-family B (MDR/TAP), member 8	7	 150725510	2.28	3.64	3.11	1.48	2.89	2.24	3.82	3.62	1.83
ASIC3	gene15081	9311	acid-sensing (proton-gated) ion channel 3	7	 150745379	0.51	0.81	0.44	0.14	0.69	0.43	0.7	0.83	0.12
CDK5	gene15082	1020	cyclin-dependent kinase 5	7	-150750902; -150750899	4.11	8.74	7.9	4.98	10.2	7.55	5.97	6.25	5.3
SLC4A2	gene15083	6522	solute carrier family 4 (anion exchanger), member 2	7	 150759634;  150759739;  150755299;  150756657	8.43	14.62	11.11	6.74	10.84	7.74	14.27	12.5	8.32
LOC100996677	gene15084	NA	NA	NA	NA	0.31	0.23	0.24	0.11	0.19	0.19	0.43	0.32	0.12
FASTK	gene15085	10922	Fas-activated serine/threonine kinase	7	-150773708	6.6	10.33	9.19	5.65	8.07	8.1	9.85	9.68	6.22
TMUB1	gene15086	83590	transmembrane and ubiquitin-like domain containing 1	7	-150778172	9.2	11.63	10.97	8.36	10.6	9.43	9.12	10.71	8.44
AGAP3	gene15087	116988	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	7	 150783826	8.57	12.89	11.5	5.92	13.52	11.14	12.83	13.95	5.85
GBX1	gene15088	2636	gastrulation brain homeobox 1	7	-150845676	0.1	0.21	0.33	0.05	0.06	0.06	0.16	0.06	0
COL11A1	gene1509	1301	collagen, type XI, alpha 1	1	-103342023	3.61	7.07	5.97	1.58	43.69	33.07	6.28	8.14	1.06
LOC101060011	gene15090	NA	NA	NA	NA	0	0	0	0	0.16	0	0	0.16	0
ABCF2	gene15092	10061	ATP-binding cassette, sub-family F (GCN20), member 2	7	-150904923; -150909576	9.25	10.69	9.3	9.09	8.94	8.39	18.29	16.14	10.85
CHPF2	gene15093	54480	chondroitin polymerizing factor 2	7	 150929585	3.51	6.51	5.07	2.61	8.02	6.34	7.44	5.66	2.65
MIR671	gene15094	768213	microRNA 671	7	 150935507	0	0	0	0	26.04	0	0	0	23.52
SMARCD3	gene15095	6604	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	7	-150936059	4.34	9.44	7.45	2.28	6.08	4.19	4.95	5.68	1.93
NUB1	gene15096	51667	negative regulator of ubiquitin-like proteins 1	7	 151038847	7.49	7.95	6.96	4.52	6.73	6.66	13.23	13.35	4.61
WDR86	gene15097	349136	WD repeat domain 86	7	-151078207	1.49	3.74	2.84	1.26	5.01	4.09	2.18	0.87	1.19
WDR86-AS1	gene15098	100131176	WDR86 antisense RNA 1	7	 151106322	0.1	0.94	0.71	0.65	0.32	1.23	0.34	0	0.41
CRYGN	gene15099	155051	crystallin, gamma N	7	-151127056	0	0.11	0	0.31	0.12	0.12	0	0	0.15
TNFRSF25	gene151	8718	tumor necrosis factor receptor superfamily, member 25	1	  -6524171;   -6521214	4.01	10.65	6.98	1.99	5.54	4.67	5.09	4.43	1.14
LOC100421046	gene1510	NA	NA	NA	NA	0	0	0	0	0.16	0	0	0	0
RHEB	gene15101	6009	Ras homolog enriched in brain	7	-151163098	12.98	21.88	20.1	16.79	20.78	19.32	16.83	15.66	15.89
ETF1P2	gene15102	6825	eukaryotic translation termination factor 1 pseudogene 2	7	NA	0.02	0.1	0.03	0.06	0.03	0.06	0.19	0.07	0
PRKAG2	gene15103	51422	protein kinase, AMP-activated, gamma 2 non-catalytic subunit	7	-151253201	2.55	3.37	3.74	2.26	3.85	2.02	4.5	4.31	2.02
PRKAG2-AS1	gene15105	100505483	PRKAG2 antisense RNA 1	7	 151574127	0	0	0.2	0	0.11	0	0.07	0.11	0
GALNT11	gene15107	63917	polypeptide N-acetylgalactosaminyltransferase 11	7	 151722778	7.3	9.24	8.04	4.44	7.76	5.86	10.01	10.13	3.55
MLL3	gene15109	NA	NA	NA	NA	1.96	3.1	2.94	1.33	2.38	1.7	4.21	3.31	1.32
RNPC3	gene1511	55599	RNA-binding region (RNP1, RRM) containing 3	1	 104068578	6.25	5.83	4.29	1.3	2.94	3	10.25	9.52	1.72
SEPT7P6	gene15110	100418720	septin 7 pseudogene 6	7	NA	0.14	0.15	0	0	0.16	0	0.11	0.06	0
CCT8L1P	gene15112	155100	chaperonin containing TCP1, subunit 8 (theta)-like 1, pseudogene	7	NA	0	0	0.03	0	0	0	0	0	0
LOC100128822	gene15113	NA	NA	NA	NA	1.37	2.78	2.45	0.52	1.16	1.05	1.58	1.3	0.34
RPL36AP28	gene15115	100271509	ribosomal protein L36a pseudogene 28	7	NA	0.27	0	0	0	0	0	0.22	0	0
XRCC2	gene15116	7516	X-ray repair complementing defective repair in Chinese hamster cells 2	7	-152343587	4.56	3.66	3.88	2.69	1.31	1.39	9.04	7.71	3.86
ATP5F1P3	gene15117	644333	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1 pseudogene 3	7	NA	0	0	0.11	0	0	0	0	0	0
ACTR3B	gene15118	57180	ARP3 actin-related protein 3 homolog B (yeast)	7	 152456834	4.5	5	4.71	4.26	2.81	1.98	6.43	8.7	3.37
DPP6	gene15119	1804	dipeptidyl-peptidase 6	7	 154002347;  153584419;  153749777	1.03	1.34	1.07	0.98	0.21	0.12	0.68	1.07	0.8
AMY2B	gene1512	280	amylase, alpha 2B (pancreatic)	1	 104097322	0.72	1.53	0.99	0.56	0.73	0.49	1.45	1.28	0.06
LOC100131460	gene15120	100131460	putative uncharacterized protein FLJ45355-like	7	NA	0	0	0	0	0	0	0	0.18	0
LOC100996700	gene15121	NA	NA	NA	NA	0	0	0	0	0	0.07	0	0.07	0
DPP6	gene15122	1804	dipeptidyl-peptidase 6	7	 154002347;  153584419;  153749777	0.7	0.87	0.57	0.59	0.28	0.11	1.44	0.91	0.49
LOC100132707	gene15123	NA	NA	NA	NA	0	0	0	0.21	0	0	0.04	0	0.07
PAXIP1	gene15124	22976	PAX interacting (with transcription-activation domain) protein 1	7	-154735400	5.19	6.98	6.38	6.64	4.01	3.8	9.35	8.17	7.06
LOC202781	gene15125	NA	NA	NA	NA	1.62	2.47	1.71	0.67	0.79	0.92	2.4	2.77	0.77
HTR5A	gene15127	3361	5-hydroxytryptamine (serotonin) receptor 5A, G protein-coupled	7	 154862034	0	0.01	0	0	0.03	0.02	0	0	0
LOC100996388	gene15128	NA	NA	NA	NA	1.15	1.47	1.47	0.7	0.69	0.78	1.16	1.5	0.69
INSIG1	gene15129	3638	insulin induced gene 1	7	 155089486	5.46	20.66	20.13	13.67	22.06	19.81	12.04	15.03	13.46
ACTG1P4	gene1513	648740	actin, gamma 1 pseudogene 4	1	 104112026	0.4	1.23	1.27	0.45	0.44	0.51	1.48	1.42	0.35
EN2	gene15130	2020	engrailed homeobox 2	7	 155250824	0.05	5.24	5.09	1.7	1.43	0.64	0.04	0.04	0.65
CNPY1	gene15131	285888	canopy FGF signaling regulator 1	7	-155293953	0.03	2.93	3.48	0.4	0.23	0.22	0.07	0.1	0.21
LOC100506302	gene15132	100506302	uncharacterized LOC100506302	7	NA	1.35	1.31	0.86	0.94	0.28	0.5	2.48	2.04	0.61
RBM33	gene15133	155435	RNA binding motif protein 33	7	 155437203	5.84	8.6	7.61	3.16	6	4.52	7.59	7.59	2.68
SHH	gene15134	6469	sonic hedgehog	7	-155595558	0.04	0.38	0.14	0.04	0	0	0	0	0.06
LOC100996445	gene15135	NA	NA	NA	NA	0	0	0	0.08	0	0	0.07	0.1	0
LOC285889	gene15137	285889	uncharacterized LOC285889	7	-156230483	0.02	0.05	0.03	0	0	0	0	0.05	0
LOC100506380	gene15138	NA	NA	NA	NA	0.52	0.24	0.34	0.2	0.33	0.26	0.49	0.57	0.07
C7orf13	gene15141	129790	chromosome 7 open reading frame 13	7	-156431060	0.79	1.14	0.7	0.39	0.38	0.28	1.05	1.93	0.2
RNF32	gene15142	140545	ring finger protein 32	7	 156433441;  156435671;  156433353	0.47	0.18	0.24	0.15	0	0.16	0.71	0.43	0.11
LMBR1	gene15143	64327	limb development membrane protein 1	7	-156473570	6.09	9.58	7.61	5.63	5.96	5.28	10.88	9.66	5.88
NOM1	gene15144	64434	nucleolar protein with MIF4G domain 1	7	 156742417	2.02	2.89	2.29	2.06	1.91	1.78	3.73	3.84	2.41
MNX1	gene15145	3110	motor neuron and pancreas homeobox 1	7	-156797547	0.04	0.33	0.38	0.12	0.05	0	0	0	0.09
LOC645249	gene15146	NA	NA	NA	NA	0	0.29	0.08	0	0	0	0	0	0.05
LOC100996426	gene15148	NA	NA	NA	NA	0	0.06	0.16	0	0	0	0.1	0.14	0
UBE3C	gene15149	9690	ubiquitin protein ligase E3C	7	 156931655	7.08	8.59	7.19	7.63	10.28	8.95	13.86	11.72	8.08
AMY1A	gene1515	276	amylase, alpha 1A (salivary)	1	-104230040;  104198302;  104292440;  104198141;  104292279	0	0	0	0	0.04	0	0	0	0
RPS27AP12	gene15150	100130446	ribosomal protein S27a pseudogene 12	7	NA	0	0	0.66	0	0.34	0.17	0.56	0.35	0
LOC777650	gene15151	777650	UBX domain protein 2B pseudogene	7	NA	0.02	0.14	0.08	0.01	0.03	0	0.24	0.23	0.08
LOC100506458	gene15153	100506458	putative uncharacterized protein LOC65996-like	7	NA	0.31	0.48	0.52	0.28	0.18	0.03	1.1	0.68	0.21
DNAJB6	gene15154	10049	DnaJ (Hsp40) homolog, subfamily B, member 6	7	 157129711;  157129710	24.17	36.24	29.14	36.46	31.74	30.29	45.04	42.49	39.87
PTPRN2	gene15157	5799	protein tyrosine phosphatase, receptor type, N polypeptide 2	7	-157331750	0.07	0.16	0.08	0.04	0.03	0.01	0.08	0.04	0.03
LOC285872	gene15162	NA	NA	NA	NA	0.22	0.12	0.06	0.12	0.27	0.06	0.32	0.13	0.12
NCAPG2	gene15163	54892	non-SMC condensin II complex, subunit G2	7	-158424003	9.96	14.28	12.67	11.58	9.37	8.66	16.36	16.74	12.11
ESYT2	gene15165	57488	extended synaptotagmin-like protein 2	7	-158523689	4.34	6.68	6.44	3.32	8.21	7.28	7.04	5.73	2.95
WDR60	gene15166	55112	WD repeat domain 60	7	 158649269	3.43	4.71	3.59	2.63	3.28	2.96	4.75	6.35	1.99
LOC154822	gene15167	NA	NA	NA	NA	0.03	0	0	0	0	0	0.05	0.05	0.01
VIPR2	gene15168	7434	vasoactive intestinal peptide receptor 2	7	-158820866	0.07	0.14	0.1	0.13	0.09	0.02	0.16	0.09	0.11
PIP5K1P2	gene15169	100129824	phosphatidylinositol-4-phosphate 5-kinase, type I, pseudogene 2	7	NA	0	0	0	0	0	0.04	0.01	0.06	0
AMYP1	gene1517	281	amylase, alpha pseudogene 1	1	NA	0	0	0	0	0	0	0.01	0.01	0
LOC100996362	gene15170	100996362	C-terminal-binding protein 2-like	Un	NA	0.2	0	0.12	0.05	0.24	0.3	0.71	0.37	0.69
LOC100996341	gene15171	NA	NA	NA	NA	0.22	0.19	0.25	0.11	0.18	0.2	0.25	0.34	0.18
LOC389831	gene15172	389831	uncharacterized LOC389831	7	    -42938	16.26	19.7	17.86	15.32	22	21.36	27.14	26.06	14.86
LOC101060081	gene15173	NA	NA	NA	NA	0.05	0	0	0	0	0	0	0	0
LOC100507312	gene15175	NA	NA	NA	NA	3.45	4.34	4.02	3.25	2.54	2.41	9.97	7.68	2.59
LOC100652990	gene15177	100652990	uncharacterized LOC100652990	Un	NA	0.26	0	0.45	0	0.16	0	0.21	0.46	0.1
RPL23AP53	gene15179	644128	ribosomal protein L23a pseudogene 53	8	   -158345	1.28	3.3	2.74	1.15	2.12	1.68	2.49	2.37	0.79
ZNF596	gene15180	169270	zinc finger protein 596	8	    182384;     182200	0.63	0.76	0.59	0.36	0.56	0.74	1.11	0.84	0.49
FBXO25	gene15182	26260	F-box protein 25	8	    356808	1.49	2.08	1.46	1.18	1.26	1.48	2.53	1.83	1.37
C8orf42	gene15183	NA	NA	NA	NA	4.08	7.33	5.47	5.92	3.34	3.34	5.85	4.93	6.84
LOC100996633	gene15184	NA	NA	NA	NA	0	0	0	0	0.13	0	0.17	0	0
LOC389607	gene15185	389607	uncharacterized LOC389607	8	NA	0.05	0.27	0.06	0.21	0.36	0.12	0.67	0.37	0.04
ERICH1	gene15186	157697	glutamate-rich 1	8	   -614200	3.24	3.48	4.28	4.11	3.71	3.56	5.46	4.24	4.14
DLGAP2	gene15189	9228	discs, large (Drosophila) homolog-associated protein 2	8	   1449569	0.1	0.06	0.04	0.14	0.01	0.01	0.21	0.15	0.09
LOC100130321	gene15191	100130321	DNA fragmentation factor, 45kDa, alpha polypeptide pseudogene	8	NA	0	0	0	0.05	0	0	0.21	0	0
CLN8	gene15192	2055	ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)	8	   1711870	1.19	2.74	2.55	1.94	2.43	2.27	3.32	2.54	1.98
ARHGEF10	gene15195	9639	Rho guanine nucleotide exchange factor (GEF) 10	8	   1772149	7.53	7.16	6.14	5.83	6.63	5.26	12.91	11.83	6.22
LOC100131395	gene15196	100131395	uncharacterized LOC100131395	8	NA	0.02	0.02	0	0	0.02	0	0.01	0.02	0
KBTBD11	gene15197	9920	kelch repeat and BTB (POZ) domain containing 11	8	   1922044	1.94	3.27	2.7	1.44	0.69	0.47	2.99	2.81	0.97
MYOM2	gene15198	9172	myomesin 2	8	   1993158	0.22	0.26	0.23	0.11	0.12	0.15	0.37	0.21	0.09
CSMD1	gene15199	64478	CUB and Sushi multiple domains 1	8	  -2792875	0.01	0.03	0.02	0.08	0.11	0.08	0	0	0.03
PLEKHG5	gene152	57449	pleckstrin homology domain containing, family G (with RhoGef domain) member 5	1	  -6526152	4.69	9.69	7.67	2.14	7.29	4.96	6.16	5.64	1.64
LOC100129138	gene1520	100129138	THAP domain containing, apoptosis associated protein 3 pseudogene	1	 104615645	0.05	0	0.06	0	0.06	0	0.13	0.06	0
PAICSP4	gene15200	780813	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase pseudogene 4	8	NA	0.01	0.02	0.01	0	0.01	0.01	0.04	0.02	0.01
LOC100287015	gene15204	100287015	uncharacterized LOC100287015	8	  -6261077	0.97	1.13	1.23	0.69	0.95	0.8	1.02	1.64	0.79
MCPH1	gene15205	79648	microcephalin 1	8	   6264113	3.39	4.69	4.23	3.52	3.12	3.09	5.73	5.37	3.71
ANGPT2	gene15206	285	angiopoietin 2	8	  -6357175	0.28	1.42	1.57	0.21	11.98	14.38	0.49	0.4	0.1
LOC100507530	gene15207	100507530	uncharacterized LOC100507530	8	NA	0.16	0.13	0.18	0.12	0.14	0.05	0.49	0.24	0.06
AGPAT5	gene15208	55326	1-acylglycerol-3-phosphate O-acyltransferase 5	8	   6565878	9.35	11.2	10.18	10.29	6.15	6.19	14.79	12.68	11.5
